ModelCode,ModelName
056128E,TWIN STAR
056128F,F-8
056128G,SKYRANGER SC
056128H,POLLIWAGEN
056128I,HARMON ROCKET
056128J,ACRO CAT
056128K,DER JAGER D.IX
056128L,JBS3
056128M,F8F-1/2
056128N,PUSHER
056128O,A
056128P,J-6 KARATOO
056128Q,KITFOX
056128R,KOLB MARK III
056128S,PGK 1 HIRONDELLE
056128T,BABY ACE MODEL D
056128U,KOLB TWINSTAR
056128V,AVID FLYER
056128W,PT2
056128X,KOLB TWIN STAR
056128Y,KOLB TWIN STAR
056128Z,GOSHAWK 350
0561290,WICHAWK
0561291,J-6 KARATOO
0561292,SUPER CAT
0561293,KOLB TWINSTAR
0561294,BURGISS WRIGHT
0561295,BX 200
0561296,AVID FLYER TD
0561297,1911 BELLANCA
0561298,KOLB TWINSTAR
0561299,SUPER SPORT TRAINER
056129A,PHOENIX
056129B,FP-404
056129C,MIG 15UTI
056129D,WALTER HOSTER #1
056129E,AVID FLYER
056129F,LANCAIR
056129G,LANCAIR 320
056129H,COZY
056129I,WITTMAN TLWND W-10
056129J,LAZAIR
056129K,LANCAIR 235
056129L,PRESCOTT PUSHER
056129M,SKYRANGER SC
056129N,C-11
056129O,CHALLENGER II
056129P,POODLE PUP
056129Q,DAVIS DA2A
056129R,AVID FLYER
056129S,CM 170 MAGISTER
056129T,AN-2
056129U,KOLB-ULTRASTAR
056129V,KITFOX
056129W,AVID FLYER
056129X,AVID FLYER
056129Y,AVID FLYER
056129Z,SUN RAY
05612A0,AVID MAGNUM
05612A1,PM-2-AB
05612A2,LANCAIR 200 SE
05612A3,RANS S-6
05612A4,WESELMANN VANS RV-4
05612A5,SCORPION 133
05612A6,GYRO-KOPP-TER
05612A7,CASSUTT MODEL IIIM
05612A8,DAKOTA HAWK
05612A9,VANS RV8
05612AA,BEDE 4 MODIFIED
05612AB,BEDE 4
05612AC,BD-4
05612AD,BEDE BD-4
05612AE,BD-4
05612AF,BD-4
05612AG,BEDE BD-4
05612AH,SA300
05612AI,VANS RV-9A
05612AJ,BEDE IV
05612AK,BEDE BD-4
05612AL,BD-4
05612AM,RV6-A
05612AN,REBEL MURPHY
05612AO,LANCAIR IV-P
05612AP,RV-8
05612AQ,HALL RV-4
05612AR,GREEN QUCKSLVR GT500
05612AS,GENESIS
05612AT,G P-5
05612AU,BUSH PLANE
05612AV,KOLB FIRE STAR
05612AW,QUICKSLVR MX SPT II
05612AX,STOLP STLET SA-500
05612AY,3500 SUPER REBEL
05612AZ,CHALLENGER II
05612B0,RV-9A
05612B1,VANS RV-8
05612B2,SHA GLASAIR RG
05612B3,BC 4-RG
05612B4,CRI-CRI
05612B5,ROTORWAY EXEC 90
05612B6,ETHERIDGE (MUSTANGII
05612B7,GLASTAR
05612B8,DAKOTA COYOTE
05612B9,CHALLENGER II
05612BA,PHOENIX
05612BB,V-100
05612BC,CAPELLA TD
05612BD,PAZER 150
05612BE,MASON KEECHIE
05612BF,RUTAN DEFIANT
05612BG,GT400
05612BH,AERO-3
05612BI,HK 36 TCC ECO
05612BJ,NORD 3400
05612BK,LM2X-2P
05612BL,SILHOUETTE
05612BM,KITFOX 1
05612BN,KOLB TWINSTAR
05612BO,VANS RV6
05612BP,FISHER FP-404M
05612BQ,STARLITE
05612BR,LITTLEJOHN PT-19
05612BS,G
05612BT,MCGILL M-1 BIPLANE
05612BU,STARLITE
05612BV,133
05612BW,CIRRUS C30
05612BX,HARMON ROCKET
05612BY,RV-9A
05612BZ,MERCER SPECIAL
05612C0,BD-5
05612C1,KITFOX SERIES 5
05612C2,BD-5J
05612C3,VANS RV-8
05612C4,VANS ACFT RV-8
05612C5,VANS RV-9A
05612C6,LANCAIR ES
05612C7,CHAMBERS LNCR LEGACY
05612C8,EDGE X
05612C9,GLASTAR
05612CA,PHOENIX
05612CB,SILHOUETTE
05612CC,PHOENIX
05612CD,STAR-LITE
05612CE,LG2H
05612CF,BX-2001
05612CG,KITFOX
05612CH,SILHOUETTE I
05612CI,KOLB FIRESTAR
05612CJ,COZY MARK IV
05612CK,AVID FLYER
05612CL,"AVID FLYER ""B"""
05612CM,KITFOX
05612CN,KITFOX
05612CO,MURPHY ELITE
05612CP,KITFOX
05612CQ,RV-3A
05612CR,RV-4
05612CS,RV-4
05612CT,VANS RV-4
05612CU,RV-4
05612CV,SMITHS RV-4
05612CW,RV-4
05612CX,RV-4
05612CY,RV-4
05612CZ,RV-4
05612D0,CGS HAWK CLASSIC
05612D1,AIR CAM
05612D2,AIR CAM
05612D3,RV-6A
05612D4,VANS RV-6
05612D5,PITTS S1D
05612D6,1917 HALBERSTDT CL11
05612D7,GLASAIR SUPER II S
05612D8,O & OII
05612D9,EXEC 162F
05612DA,PEGASUS FLASH
05612DB,KOLB TWINSTAR
05612DC,HOMEBUILT SAILPLANE
05612DD,MONI
05612DE,AVID FLYER
05612DF,AVID FLYER
05612DG,AVID FLYER
05612DH,AVID FLYER
05612DI,GLASAIR SUPER 11FT
05612DJ,AVID FLYER
05612DK,AVID FLYER
05612DL,RV-4
05612DM,RV-4
05612DN,K-5
05612DO,RW162SP
05612DP,MIG-15BIS
05612DQ,PUFFER COZY MKIII
05612DR,MINIMAX II
05612DS,TB#1
05612DT,NOSTALGAIR SUPER-PUP
05612DU,VELOCITY
05612DV,PAZMANY PL-1
05612DW,LANCAIR 320
05612DX,B
05612DY,COLLIER AMBASSADOR-1
05612DZ,FIRESTAR
05612E0,VENTURE-THORP T211
05612E1,RV-6A
05612E2,RV-8
05612E3,RV-6
05612E4,RV-8A
05612E5,RV6 VANS ACFT INC
05612E6,WAGABOND
05612E7,ROTORWAY 162-F
05612E8,GLASAIR III
05612E9,LANCAIR IV-P
05612EA,KITFOX
05612EB,SHADOW
05612EC,SPARROW HAWK MKII
05612ED,GRAFLITE
05612EE,HARRIS #5
05612EF,BC12-D-MS1
05612EG,NOSTALGAIR N-3 PUP
05612EH,RV4
05612EI,T-BIRD (TIERRA)TWO
05612EJ,RV4
05612EK,RV4
05612EL,RV4
05612EM,RV4
05612EN,RV3A
05612EO,ZENITH CH-300
05612EP,RV4
05612EQ,PIONEER DUALSTAR
05612ER,OPTERYX MKIII
05612ES,BD-4
05612ET,RANS S-9
05612EU,ZIPPY SPORT
05612EV,FISHER SUPER KOALA
05612EW,MILLER SPECIAL JM-2
05612EX,BEARCAT
05612EY,CHRISTAVIA MK1
05612EZ,SORD-1A
05612F0,AIR COMMAND SPORT
05612F1,601 HDS
05612F2,CH 801
05612F3,GLASTAR
05612F4,MI-8-MTV-1
05612F5,AVID MAGNUM
05612F6,SCORPION TOO
05612F7,PITTS S1C
05612F8,RV8
05612F9,KOLB TWNSTR MK 3XTRA
05612FA,ADV AVN CARRERA
05612FB,STRIPLIN SKYRNGR SC
05612FC,POLLIWAGEN
05612FD,AVID FLYER
05612FE,AVID FLYER
05612FF,FP-404
05612FG,HARMON ROCK0T
05612FH,AVID FLYER
05612FI,TITAN TORNADO
05612FJ,GT-400
05612FK,GT 400
05612FL,SUNDERLAND S-18
05612FM,PIEL BERYL CP-750
05612FN,GT 400
05612FO,S10 SAKOTA
05612FP,QUESTAIR MODEL 200
05612FQ,SUPER GT 400
05612FR,TWINSTAR
05612FS,COZY
05612FT,Z
05612FU,BURLESON ROCKET 532
05612FV,SUPER GT 400
05612FW,PAN
05612FX,WINDROSE
05612FY,RANS S7
05612FZ,SEAHAWK COMPOSITE
05612G0,WITTMAN TAILWIN-W-10
05612G1,H-3
05612G2,PELICAN PL
05612G3,EUROPA XS
05612G4,SA300
05612G5,RV6-A
05612G6,HIPERBIPE SNS-7
05612G7,EAA BIPLANE P2
05612G8,GTE
05612G9,GLASTAR
05612GA,SKY SCOUT
05612GB,AA
05612GC,UFM 13 LAMBADA
05612GD,DA 40-180 DIAMOND ST
05612GE,R-80 TIGER MOTH
05612GF,FLIGHTSTAR II
05612GG,A
05612GH,SPARROW II
05612GI,FLY FISHER
05612GJ,WITTMAN TAILWIND
05612GK,STARDUSTER TOO
05612GL,RV-6A
05612GM,VELOCITY
05612GN,GLASTAR
05612GO,RV-6A
05612GP,SE 1
05612GQ,SEAREY
05612GR,TR-1
05612GS,COZY IV
05612GT,SONEX
05612GU,VELOCITY XLRG
05612GV,LANCAIR LEGACY
05612GW,LANCAIR 360 MK II
05612GX,RV9A
05612GY,RV8
05612GZ,RV4
05612H0,RV-8
05612H1,PIETENPOL
05612H2,RANS S-7
05612H3,SEAWIND
05612H4,CHALLENGER II
05612H5,EXEC 162-F
05612H6,RANS S-18
05612H7,AX-6
05612H8,JH1
05612H9,NIEUPORT 11
05612HA,MINI MAX
05612HB,LANCAIR
05612HC,KITFOX
05612HD,PAZMANY PL-2
05612HE,STAR-LITE
05612HF,KITFOX
05612HG,STAR-LITE
05612HH,AN-3
05612HI,RV-9
05612HJ,SPARROW SS
05612HK,WA 200
05612HL,TWINSTAR
05612HM,PHOENIX
05612HN,HOLMES SPECIAL S2C
05612HO,SEAREY
05612HP,KITFOX MODEL I
05612HQ,LONGO 104
05612HR,KITFOX
05612HS,KA-18L
05612HT,LM-1
05612HU,SUPER KOALA
05612HV,SUPERCAT
05612HW,WINDROSE
05612HX,SUPERCAT X-1
05612HY,HC 150
05612HZ,KITFOX
05612I0,VANS RV-9A
05612I1,RV8
05612I2,KITFOX CLASSIC IV
05612I3,JABIRU SP
05612I4,ZENITH STOL CH701
05612I5,ROTORWAY EXEC 162F
05612I6,VELOCITY XL RG
05612I7,MDM-1
05612I8,MAGNI M-16
05612I9,PITTS MODEL 12
05612IA,NIEUPORT 11
05612IB,NIEUPORT 11
05612IC,NIEUPORT 11
05612ID,NIEUPORT 11
05612IE,NIEUPORT 11
05612IF,NIEUPORT 11
05612IG,NIEUPORT 11
05612IH,NIEUPORT 11
05612II,NIEUPORT 11
05612IJ,NIEUPORT 11
05612IK,ROTORWAY EXEC 162F
05612IL,CHALLENGER II
05612IM,LANCAIR LEGACY
05612IN,EXEC 90
05612IO,SPORT II
05612IP,REBEL
05612IQ,VELOCITY XL-FG
05612IR,PULSAR XP
05612IS,RV8
05612IT,VANS RV-4
05612IU,TWINSTAR MARK III
05612IV,ARV1 SUPER 2
05612IW,KOLB KOLBRA
05612IX,BERGFALKE IV
05612IY,FLIGHTSTAR II SL
05612IZ,REVOLUTION MINI-500
05612J0,VANS RV-8
05612J1,JODEL D-92
05612J2,162F PRO
05612J3,FLOATSTAR
05612J4,VANS ACFT RV-6
05612J5,PIETENPOL AIRCAMPER
05612J6,GENESIS
05612J7,SINGLE-SEAT CLIPWING
05612J8,RYAN NYP
05612J9,GILL RV4
05612JA,TWINSTAR
05612JB,STAR-LITE
05612JC,TAPERWING TA1
05612JD,STAR-LITE
05612JE,BURTCH-FIKE
05612JF,KUSTOM KUB
05612JG,BLUEHAWK
05612JH,VELOCITY
05612JI,EXPRESS SERIES 2000
05612JJ,001
05612JK,B
05612JL,CU-LITE
05612JM,AVID FLYER
05612JN,II
05612JO,VELOCITY
05612JP,KITFOX
05612JQ,AVID FLYER
05612JR,SUPER KOALA
05612JS,STARLITE
05612JT,AVID FLYER
05612JU,MINIMAX II
05612JV,SPARROW HAWK
05612JW,VELOCITY
05612JX,DAUNTLESS
05612JY,PHOENIX
05612JZ,GR-7
05612K0,XLS
05612K1,VANS RV-7
05612K2,ZODIAC 601 HDS
05612K3,GLASTAR
05612K4,SKYSTAR(KITFOX)SER 5
05612K5,HORIZON 2
05612K6,KOLB MARK III EXTRA
05612K7,SKY RAIDER
05612K8,SEAFOX MOD 3
05612K9,NIEUPORT 11#
05612KA,SUPERCAT
05612KB,RV4
05612KC,STARLITE
05612KD,KITFOX
05612KE,AVID FLYER
05612KF,AVID FLYER 86B
05612KG,RANS S 9
05612KH,COZY
05612KI,RV7
05612KJ,KOLB TWINSTAR
05612KK,COSMOS PROFIL 19
05612KL,YAKOLEV YAK 11
05612KM,KOLB TWINSTAR
05612KN,KITFOX MODEL 1
05612KO,EUROPA XS
05612KP,STARLITE
05612KQ,AVID FLYER
05612KR,KOLB TWINSTAR
05612KS,RANS S7 COUIRER
05612KT,SUPERCAT
05612KU,LANCAIR 235
05612KV,DAGGER
05612KW,SPEZIO SPORT
05612KX,CHRISTAVIA MK1
05612KY,WHITE LIGHTNING
05612KZ,B
05612L0,VANS RV-8A
05612L1,VANS RV-7A
05612L2,RV6A
05612L3,RV-8
05612L4,SUPER ES
05612L5,JABIRU J200
05612L6,EROS 1650
05612L7,SEAREY
05612L8,EUROPA XS MTR GLIDER
05612L9,RV-6
05612LA,FK2
05612LB,SPACEWALKER
05612LC,JURCA MJ5
05612LD,J3 KITTEN
05612LE,TURNER T40 A M
05612LF,KITFOX
05612LG,KITFOX KF 1
05612LH,J 3
05612LI,RV-4 MODIFIED (JM-3)
05612LJ,DAVIS DA-2A
05612LK,SPACEWALKER
05612LL,KITFOX
05612LM,AVIDFLYER
05612LN,KITFOX
05612LO,VANS RV6
05612LP,AVID FLYER
05612LQ,AVID FLYER
05612LR,AVID FLYER
05612LS,LANCAIR
05612LT,RANS S 9
05612LU,LANCAIR 0 320
05612LV,KOLB ULTRA/FIRESTAR
05612LW,PHOENIX
05612LX,PHOENIX
05612LY,HI MAX
05612LZ,RENEGADE II
05612M0,GN-1 AIRCAMPER
05612M1,(ZENITH LEE) CH-600
05612M2,ROTORWAY JET EXEC
05612M3,EUROPA MOTORGLIDER
05612M4,RTWY INTL EXEC 162F
05612M5,BEAVER RX 550 PLUS
05612M6,TITAN TORNADO
05612M7,PELICAN SPORT 600
05612M8,CX4
05612M9,TEARATORN T-BIRD ONE
05612MA,AVID FLYER B
05612MB,LAST CHANCE
05612MC,LANCAIR 320
05612MD,AFB
05612ME,A
05612MF,SPECTRUM BEAVER
05612MG,KITFOX MODEL 1
05612MH,LANCAIR 0235
05612MI,RV-8A
05612MJ,SKYWALKER
05612MK,N 3 PUP
05612ML,235 LANCAIR
05612MM,KOLB TWINSTAR MK II
05612MN,STARLITE
05612MO,VANS RV-7
05612MP,SUPERCAT
05612MQ,RANS COYOTE
05612MR,BEAVER
05612MS,KOLB TWINSTAR
05612MT,KING COBRA
05612MU,DELTA HAWK
05612MV,KARA TWO
05612MW,HI MAX
05612MX,STARLITE
05612MY,AVID FLYER
05612MZ,STARLITE
05612N0,VANS RV8
05612N1,GLASAIR III
05612N2,AN-32B
05612N3,TEENIE TWO
05612N4,SONEX
05612N5,HATZ JD-1
05612N6,RO-2
05612N7,LANCAIR LEGACY
05612N8,LANCAIR ES
05612N9,MADDIWAGON
05612NA,SUPERCAT
05612NB,KOLB TWINSTAR MK II
05612NC,NOSTALGAIR N3 PUP
05612ND,FP 404
05612NE,KOLB TWINSTAR
05612NF,COZY
05612NG,STAR-LITE
05612NH,DON QUIOTE J1B
05612NI,VANS RV-4
05612NJ,POLLIWAGEN
05612NK,RANS COYOTE
05612NL,WHITE LIGHTNING
05612NM,MY PATSY
05612NN,DAVIS DA-2A
05612NO,MURPHY ELITE
05612NP,C-1 FLYER
05612NQ,WYTEX SE5B REPLICA
05612NR,SIROCCO MJ5
05612NS,M 81
05612NT,AVID FLYER B
05612NU,AVID FLYER CAO
05612NV,SUPER CAT
05612NW,DAYDREAM
05612NX,NORD 1101
05612NY,NEWLAND BABY BOLT
05612NZ,B1-RD
05612O0,VANS RV-6
05612O1,VANS RV-8
05612O2,RV-4
05612O3,RV4
05612O4,TURBINE LANCAIR IV-P
05612O5,T-BIRD II (TIERRA)
05612O6,KITFOX IV-1050
05612O7,KITFOX SERIES 5
05612O8,ZODIAC 601 HDS
05612O9,ZODIAC 601 HDS
05612OA,RV-4
05612OB,RV-8
05612OC,RV-9
05612OD,ZENITH ACFT CH-701
05612OE,TITAN TORNADO II
05612OF,EXEC 162-F KIT
05612OG,CHALLENGER II
05612OH,VELOCITY XL RG
05612OI,VANS RV6A
05612OJ,VISION
05612OK,SUPER BABY LAKES
05612OL,VANS RV8A
05612OM,LONG EZE
05612ON,LANCAIR IV-P
05612OO,CURTISS JN4D
05612OP,VARI-EZ
05612OQ,HAYES IVP TURBINE
05612OR,KOLB MARK III
05612OS,VANS ACFT RV8A
05612OT,PHILLIPS
05612OU,SONEX
05612OV,EROS
05612OW,RV-6A
05612OX,RV-4
05612OY,RV-6
05612OZ,RV-8
05612P0,VANS RV-6
05612P1,RV-6
05612P2,RV-8
05612P3,VANS RV9A
05612P4,GOODLETT SAFARI
05612P5,GLASTAR
05612P6,GARNER ROTORWAY 162F
05612P7,AVID MAGNUM
05612P8,DNY ACFT KITFOX II
05612P9,GLASTAR
05612PA,PHOENIX
05612PB,WHITE LIGHTNING
05612PC,DAVIS DA-2A
05612PD,LANCAIR 235
05612PE,LANCAIR 235
05612PF,AURA
05612PG,SUPERCAT
05612PH,XA-650
05612PI,PULSAR XP
05612PJ,MIG-17T
05612PK,KITFOX
05612PL,LANCAIR 235
05612PM,MASSEGEE REBEL
05612PN,CLEONE MARKWELL MK1
05612PO,KOLB SLINGSHOT
05612PP,TWINSTAR MARK II
05612PQ,SPORTSTER
05612PR,AVID FLYER
05612PS,KOLB
05612PT,BUMBLE BEE II
05612PU,RV-6A
05612PV,RANS S-9
05612PW,RANS S-10
05612PX,HOBO
05612PY,BH-3
05612PZ,CP-311
05612Q0,CORTRGT ART CORTAERO
05612Q1,ACRO SPORT
05612Q2,RW2
05612Q3,VARIEZE
05612Q4,VELOCITY
05612Q5,VANS RV8-A
05612Q6,RV-6A
05612Q7,GILES 202
05612Q8,GLASAIR I TD
05612Q9,RAF 2000GXT SE
05612QA,KITFOX
05612QB,AVID FLYER
05612QC,CAPUTO RAGWING RNS-1
05612QD,LIKE SUPER CUB
05612QE,AVID FLYER
05612QF,SUPER SPORT
05612QG,STAR-LITE
05612QH,KOOKABURRA 320
05612QI,AMERICAN SPIRIT
05612QJ,HOMEBUILT
05612QK,KITFOX
05612QL,J6 KARATOO
05612QM,SF2M
05612QN,BLATTER ADVANTAGE
05612QO,PIETENPOL AIRCAMPER
05612QP,AVID FLYER
05612QQ,EMERALD
05612QR,AVID FLYER
05612QS,WHITE LIGHTNING
05612QT,KOLB TWINSTAR
05612QU,CHRISTAVIA MK-1
05612QV,STARLITE
05612QW,LANCAIR 235
05612QX,KITFOX
05612QY,STOLP STARDUSTER II
05612QZ,MINI MAX
05612R0,ULTRA-PUP BY PRECPTR
05612R1,KOLB MARK III
05612R2,LANDOLL SKYDOLL
05612R3,MURPHY SR-3500
05612R4,PRIDE/AERO-39 ZO
05612R5,VANS RV-6
05612R6,VANS ACFT RV-6A
05612R7,RV-8
05612R8,KOLB MK III CLASSIC
05612R9,KOLB SLING SHOT
05612RA,KITFOX
05612RB,SUPERCUBY
05612RC,VELOCITY
05612RD,COZY
05612RE,LP-180
05612RF,ULTIMATE 10-200
05612RG,KELLY D
05612RH,RENEGADE SPIRIT
05612RI,VELOCITY SUV
05612RJ,AVID FLYER
05612RK,S-7
05612RL,PRICE P CRAFT
05612RM,BEE 2
05612RN,BEARCAT
05612RO,AVID MARK 4
05612RP,CAPELLA
05612RQ,AVID FLYER
05612RR,RENEGADE SPIRIT
05612RS,B-1
05612RT,BARRACUDA
05612RU,DOLPHIN
05612RV,MODEL 1
05612RW,LANCAIR 235
05612RX,Z-200 LAZER
05612RY,GP-1
05612RZ,RANS S-9 EXP
05612S0,P-51 MUSTANG
05612S1,BEARHAWK
05612S2,SKYSTAR KITFOX SRS 7
05612S3,HARMON ROCKET
05612S4,BLANEY
05612S5,AVID ACFT MARK IV
05612S6,MAGNI M-16
05612S7,DR-109
05612S8,WINDLASS AQUILLA
05612S9,VANS RV6
05612SA,KITFOX
05612SB,RENEGADE SPIRIT
05612SC,LANCAIR 235
05612SD,CMNWEALTH BOOMERANG
05612SE,ASTROCRAFT
05612SF,ALASKAN BUSHMASTER
05612SG,MODEL 300
05612SH,SILHOUTTE I
05612SI,MURPHY SUPER REBEL
05612SJ,AVID FLYER B
05612SK,BOREDOM FIGHTER
05612SL,SUPERCAT
05612SM,DCV
05612SN,AVID FLYER MODEL B
05612SO,PITTS MODEL 12
05612SP,COZY
05612SQ,SUPER CAT
05612SR,KITFOX
05612SS,LANCAIR 235
05612ST,PHOENIX
05612SU,KITFOX
05612SV,FP 404
05612SW,KITFOX
05612SX,COZY
05612SY,PRESCOTT PUSHER
05612SZ,BOBCAT
05612T0,RK-2
05612T1,YOUNGSTER
05612T2,SZD-56-1 DIANA
05612T3,RV6
05612T4,RV6A
05612T5,X-AIR
05612T6,GLASAIR I RG
05612T7,WINDRYDER
05612T8,P-1
05612T9,DER KRICKET D.K-1
05612TA,AVID FLYER B
05612TB,HS 1
05612TC,PRESCOTT PUSHER
05612TD,CAPELLA CLASSIC
05612TE,RANS S 9
05612TF,CD 1
05612TG,N3 2
05612TH,NOSTOLGAIR N3 PUP
05612TI,COZY MK IV
05612TJ,J3 KITTEN
05612TK,PRESCOTT PUSHER
05612TL,STAROS/SPECIAL FX
05612TM,SPACEWALKER
05612TN,RANS S 9
05612TO,SONERAI 2
05612TP,SILOUETTE
05612TQ,TWINSTAR
05612TR,RANS S 9
05612TS,COZY
05612TT,HOMESTEADER
05612TU,SK1
05612TV,TWINSTAR
05612TW,HAC 1
05612TX,P 70
05612TY,AVID FLYER
05612TZ,BBD 2B
05612U0,RV 7
05612U1,VANS RV9A
05612U2,RV-6A
05612U3,RV-6
05612U4,AVID MAGNUM
05612U5,MAVERICK 1500
05612U6,MUSTANG II
05612U7,CHR SAFARI
05612U8,RANS S7C
05612U9,PAZMANY PL-2
05612UA,KOLB TWINSTAR MK II
05612UB,KITFOX 1
05612UC,COZY
05612UD,KOLB TWINSTAR MK II
05612UE,FP 404
05612UF,KR 2
05612UG,LIGHT AIRPLANE
05612UH,COZY LONG EZ
05612UI,SUA-7
05612UJ,AVID FLYER
05612UK,MILLER BABY ACE
05612UL,410
05612UM,RANS S 7 COURIER
05612UN,AVID FLYER B
05612UO,BARRACUDA
05612UP,KOLB TWINSTAR MK II
05612UQ,SH 2
05612UR,MC 12
05612US,KITFOX
05612UT,AVID FLYER
05612UU,WARNER ACFT SPRTSTR
05612UV,RV-6
05612UW,KENSHIP 1
05612UX,SKYCYCLE
05612UY,DISCOVERY
05612UZ,KITFOX
05612V0,NIEUPORT 17
05612V1,HARMON
05612V2,COZY III
05612V3,AIR COMMAND AMB 01
05612V4,KELCH WELCH OW8M
05612V5,ESH/VANS RV-9A
05612V6,RV-6
05612V7,RV-6
05612V8,CELEBRITY-404
05612V9,ZODIAC 601 HDS
05612VA,KITFOX
05612VB,MILLIGAN SPEC
05612VC,CH 701 S T O L
05612VD,AVID FLYER
05612VE,FK 1 STOL
05612VF,TWINSTAR MARK II
05612VG,LINCH
05612VH,FISHER FP101
05612VI,LANCAIR IN IN LEGACY
05612VJ,RANS S 9
05612VK,AVID FLYER
05612VL,SX 300
05612VM,ANDERSON
05612VN,SX 300
05612VO,1903 WRIGHT FLYER RE
05612VP,RENEGADE SPIRIT
05612VQ,REDLINE
05612VR,KITFOX
05612VS,BARRACUDA
05612VT,AVID FLYER
05612VU,N3 SUPER PUP
05612VV,MINI MAX
05612VW,KITFOX
05612VX,SX 300
05612VY,TURNER T40A
05612VZ,CLIPPER
05612W0,LANCAIR IV-P
05612W1,LANCAIR INTL INC 320
05612W2,LANCAIR 320
05612W3,AVID
05612W4,BUSHBY MUSTANG M-11
05612W5,ROSE PARRAKEET REP
05612W6,RV-8A
05612W7,VANS RV-8
05612W8,RV6
05612W9,VELOCITY XL-RG
05612WA,V 1
05612WB,BEAVER RX 550
05612WC,CK 1
05612WD,S 18
05612WE,WITTER BOBCAT
05612WF,LANCAIR 235
05612WG,RANS S9 EXP
05612WH,AVID FLYER MODEL B
05612WI,ZENAIR 601 HDS
05612WJ,SX 300
05612WK,AVID FLYER C
05612WL,ALASKA BUSH KOALA
05612WM,COZY
05612WN,EVANS VP II
05612WO,RAF 2000
05612WP,AVID FLYER
05612WQ,YAKOLEV YAK 11
05612WR,TYPE 522
05612WS,CHUJIAO 6
05612WT,EVANS VP 1
05612WU,KITFOX
05612WV,RATSREPUS
05612WW,2/3 SCALE CUB
05612WX,STARLITE
05612WY,CLASSIC
05612WZ,WEEDHOPPER WM1 2
05612X0,RV-9A
05612X1,VANS RV-8A
05612X2,STRDSTR TOO SA 300
05612X3,TORNADO II
05612X4,SONEX
05612X5,FLYER
05612X6,HUMMEL BIRD
05612X7,T-BIRD II
05612X8,SKYRAIDER II
05612X9,VANS RV-8A
05612XA,KELLY D
05612XB,KOLB TWINSTAR MK II
05612XC,SWEARINGEN SX300
05612XD,SWEARINGEN SX300
05612XE,FISHER FP 202 KOALA
05612XF,S 7 COURIER
05612XG,RANS S9
05612XH,KITFOX
05612XI,KR-2 KOLB FIRESTAR
05612XJ,HOLSCLAW
05612XK,BARRACUDA
05612XL,COZY
05612XM,BOREDOM FIGHTER
05612XN,BOBCAT
05612XO,IV-P
05612XP,KOLB TWINSTAR
05612XQ,KITFOX 532
05612XR,KOLB TWINSTAR
05612XS,KITFOX
05612XT,KELLY D
05612XU,RANS S 9 EXP
05612XV,RENEGADE SPIRIT
05612XW,RANS S 7 COURIER
05612XX,200
05612XY,PARSONS
05612XZ,SA 300
05612Y0,SA 300 STARDUSTER
05612Y1,VELOCITY SUV
05612Y2,GILES G-202
05612Y3,AVENTURA II
05612Y4,GLASTAR HOMEBUILT
05612Y5,EXPRESS SRS 2000RG
05612Y6,PITTS MOD 12
05612Y7,RV6A
05612Y8,AVID MARK IV
05612Y9,DREAM MACHINE
05612YA,KITFOX
05612YB,FIRST STRIKE
05612YC,RANS S 10
05612YD,FISHER 404
05612YE,DURAND MARK V
05612YF,MIDGET MUSTANG
05612YG,MIG 15 BIS
05612YH,N 3 PUP
05612YI,KITFOX CLASSIC IV
05612YJ,143
05612YK,FIRESTAR
05612YL,KOLB TWINSTAR MK II
05612YM,2/3 P 51D
05612YN,D2 S6
05612YO,PITTS MODEL-12
05612YP,CORBEN JR ACE E
05612YQ,ROBERTSON BI RD
05612YR,RANS S 9 EXP
05612YS,LANCAIR 235
05612YT,AVID FLYER C
05612YU,SUPER CAT
05612YV,LANCAIR 200
05612YW,AGRIPLANE
05612YX,EVANS VP-1
05612YY,HELI-1
05612YZ,MINI PLANE
05612Z0,CHALLENGER II
05612Z1,PULSAR XP
05612Z2,EX2K
05612Z3,R-J SPECIAL
05612Z4,PITTS MODEL 12
05612Z5,S-9
05612Z6,CHALLENGER II
05612Z7,KITFOX SERIES 6
05612Z8,VANS RV-6A
05612Z9,VANS RV-8
05612ZA,SONEX
05612ZB,CLOUD DANCER JN 4DII
05612ZC,KITFOX
05612ZD,VEVA
05612ZE,WHITE LIGHT WLAC 1
05612ZF,TST
05612ZG,KITFOX
05612ZH,SADLER VAMPIRE
05612ZI,EXCALIBUR
05612ZJ,MIRAGE
05612ZK,DERJAGER D IX
05612ZL,WACO JR
05612ZM,RONS RANS 9
05612ZN,GLASTAR
05612ZO,EUROPA XS TRGR MTGLD
05612ZP,MINI MAX
05612ZQ,KOLB TWINSTAR MK II
05612ZR,COZY
05612ZS,WHITE LIGHTNING
05612ZT,KOLB TWINSTAR MK II
05612ZU,ALBATROSS C III
05612ZV,IL 14
05612ZW,NOSTALGAIR N3 PUP
05612ZX,KOLB FIRESTAR
05612ZY,KOLB TWINSTAR
05612ZZ,KITFOX MODEL 2
0561300,VANS RV9A
0561301,DA-2A
0561302,MENDE 1
0561303,MODEL-1
0561304,TLAR-1
0561305,STANLEY SPECIAL
0561306,CVJETKOVIC CA65
0561307,SPEZIO SPORT DAL-1
0561308,DA-2A
0561309,CAVALIER SA102.5
056130A,VANS RV6A
056130B,SUPER RV8
056130C,VANS RV-7A
056130D,S-6-S
